object,name,material
currency,quarter,cupronickel-clad-copper
currency,quarter,silver-900
currency,dime,cupronickel-clad-copper
currency,dime-mercurcy,silver-900
currency,nickel,cupronickel
currency,nickel-buffalo,cupronickel
currency,penny,copper-plated-zinc
currency,penny-indian-head,bronze
currency,penny-wheat,bronze
currency,penny-steel,zinc-plated-steel
currency,large-cent,copper
currency,roman-denarius,silver
currency,roman-sestertius,copper-alloy
currency,hammered-halfpenny,silver
trash,pull-tab,aluminum
trash,pull-tab-ring,aluminum
trash,beaver-tail,aluminum
trash,foil,aluminum
trash,bottle-cap,steel
trash,fragment,aluminum
trash,wire-fragment,copper
trash,wire-fragment,aluminum
hardware,nail,steel
hardware,nail-bent,steel
hardware,nail-straight,steel
hardware,screw,steel
hardware,horseshoe,iron
hardware,plow-point,steel
hardware,pipe-fragment,cast-iron
hardware,structural-bolt,steel
jewelry,ring,gold
jewelry,ring,silver
jewelry,ring,brass
jewelry,earring,gold
jewelry,earring,silver
jewelry,earring,brass
jewelry,necklace,gold
jewelry,necklace,silver
jewelry,necklace,brass
test_fixture,calibration-disc,steel
test_fixture,calibration-disc,copper
relic,button,pewter
relic,button,brass
relic,buckle,brass
relic,buckle,iron
relic,musket-ball,lead
relic,minie-ball,lead
relic,token,brass
relic,medallion,bronze
relic,key,copper-alloy
relic,key,iron
relic,toy,steel
relic,utensil,steel
relic,utensil,nickel-silver
mineral,ore,hematite
mineral,flake,gold
mineral,nugget,gold
mineral,nugget,copper
mineral,nugget,silver
ambient,background,unknown
