object,name,material
currency,dime,cupronickel-clad-copper
currency,nickel,cupronickel
currency,quarter,cupronickel-clad-copper
currency,penny,copper-plated-zinc
currency,indian-head,bronze-indian-head
currency,silver-quarter,silver-900
trash,pull-tab,aluminum
trash,pull-tab-ring,aluminum
trash,beaver-tail,aluminum
trash,foil,aluminum
trash,bottle-cap,steel
trash,fragment,aluminum
trash,wire-fragment,copper
trash,wire-fragment,aluminum
hardware,nail,steel
hardware,nail-bent,steel
hardware,nail-straight,steel
hardware,horseshoe,iron
hardware,plow-point,steel
hardware,pipe-fragment,cast-iron
hardware,structural-bolt,steel
jewelry,ring,gold
jewelry,ring,silver
jewelry,ring,brass
test_fixture,reference-sphere,steel
test_fixture,calibration-disc,copper
relic,button,brass
relic,buckle,brass
relic,buckle,iron
relic,musket-ball,lead
relic,minie-ball,lead
relic,token,brass
relic,medallion,bronze
mineral,coke,carbonized-coal
mineral,ore-fragment,hematite
mineral,flake,gold
mineral,nugget,gold
mineral,nugget,copper
mineral,nugget,silver
ambient,background,unknown

tools_and_equipment,spindle-whorl,lead
dress_component,buckle,iron
household,key,copper-alloy
